Date,Open,High,Low,Close,Volume
2016-02-26,93.019,93.807,92.426,92.743,28719224
2016-02-29,92.693,94.005,92.493,92.531,31491657
2016-03-01,93.448,96.435,93.228,96.205,51158950
2016-03-02,96.185,96.551,95.354,96.415,33827305
2016-03-03,96.252,97.341,96.128,97.144,36341278
2016-03-04,97.968,99.282,97.019,98.597,45739160
2016-03-07,97.988,98.41,96.619,97.488,34037831
2016-03-08,96.445,97.389,96.079,96.687,31794642
2016-03-09,96.959,97.222,95.953,96.775,25304699
2016-03-10,97.056,97.84,95.839,96.822,35019878
2016-03-11,97.84,97.88,97.144,97.86,26473572
2016-03-14,97.526,98.489,97.399,98.106,26203130
2016-03-15,99.491,100.66,99.381,100.09,41868617
2016-03-16,100.12,101.73,100.1,101.4,40025082
2016-03-17,100.99,101.89,100.44,101.24,35967775
2016-03-18,101.76,101.92,100.67,101.36,46192015
2016-03-21,101.37,103.03,100.62,101.35,37098381
2016-03-22,100.73,102.68,100.69,102.12,33902618
2016-03-23,101.9,102.47,101.34,101.56,26858762
2016-03-24,100.95,101.67,100.38,101.12,27307527
2016-03-28,101.43,101.61,100.54,100.67,19207558
2016-03-29,100.38,103.16,100.38,103.06,30945395
2016-03-30,103.98,105.68,103.93,104.84,46333990
2016-03-31,105,105.17,104.19,104.3,25026620
2016-04-01,104.1,105.26,103.54,105.25,26243366
2016-04-04,105.68,107.35,105.53,106.34,36354894
2016-04-05,104.8,105.96,104.71,105.09,25903474
2016-04-06,105.49,106.21,104.51,106.19,26283002
2016-04-07,105.21,105.68,103.47,103.87,30825069
2016-04-08,104.22,105.05,103.51,103.99,24063987
2016-04-11,104.28,105.86,104.14,104.33,27674034
2016-04-12,104.64,105.76,103.99,105.7,27321987
2016-04-13,106.03,107.5,106.03,107.21,33365578
2016-04-14,106.82,107.55,106.55,107.26,25321788
2016-04-15,107.27,107.46,105.01,105.13,46000003
2016-04-18,104.2,104.26,102.34,102.86,61525749
2016-04-19,103.25,103.36,101.65,102.31,32174977
2016-04-20,102.05,103.44,101.49,102.53,27596857
2016-04-21,102.33,102.33,100.99,101.4,30589072
2016-04-22,100.49,101.9,100.13,101.13,34189411
2016-04-25,100.48,101.1,100.02,100.56,27848049
2016-04-26,99.441,100.78,99.441,99.86,41260769
2016-04-27,91.871,94.465,91.566,93.604,113725867
2016-04-28,93.411,93.67,90.197,90.75,82659611
2016-04-29,89.948,90.647,88.531,89.709,70053377
2016-05-02,89.925,90.034,88.426,89.612,49490630
2016-05-03,90.149,91.624,89.651,91.087,58497660
2016-05-04,91.105,91.775,89.785,90.139,40068441
2016-05-05,90.504,90.572,89.234,89.773,35973039
2016-05-06,89.899,89.974,88.434,89.271,44448376
2016-05-09,89.542,90.283,89.147,89.34,32169394
2016-05-10,89.859,90.09,88.686,89.947,33877230
2016-05-11,90.003,90.09,89.022,89.07,25273373
2016-05-12,89.271,89.33,86.144,86.98,77504858
2016-05-13,86.654,88.259,86.654,87.153,44067419
2016-05-16,88.955,90.88,88.243,90.389,62025801
2016-05-17,91.035,91.178,89.55,90.013,45605755
2016-05-18,90.66,91.669,90.399,91.045,42709742
2016-05-19,91.121,91.121,90.09,90.695,30734681
2016-05-20,91.121,91.882,91.005,91.678,31277420
2016-05-23,92.304,93.576,92.114,92.843,37622848
2016-05-24,93.606,94.444,93.238,94.259,30788288
2016-05-25,95.001,96.031,94.462,95.897,35808291
2016-05-26,95.973,96.989,94.972,96.677,56650267
2016-05-27,95.742,96.736,95.555,96.619,35841265
2016-05-31,95.897,96.668,95.146,96.147,40506146
2016-06-01,95.337,95.839,94.674,94.798,29126195
2016-06-02,93.969,94.201,93.037,94.087,40127413
2016-06-03,94.154,94.616,93.827,94.278,26331296
2016-06-06,94.346,98.096,93.922,94.964,23667802
2016-06-07,95.56,96.157,95.28,95.347,21506027
2016-06-08,95.337,95.858,95.01,95.26,19860174
2016-06-09,94.836,96.271,94.798,95.945,26660185
2016-06-10,94.865,95.652,94.817,95.165,26999160
2016-06-13,95.019,95.435,93.489,93.719,36951761
2016-06-14,93.7,94.812,93.152,93.837,32044150
2016-06-15,94.184,94.75,93.421,93.528,27016028
2016-06-16,92.863,94.114,92.498,93.922,31689294
2016-06-17,93.027,93.057,91.756,91.785,56724044
2016-06-20,92.43,92.978,91.495,91.565,34747827
2016-06-21,91.409,92.767,91.157,92.344,33163550
2016-06-22,92.67,93.288,91.805,92.006,27188399
2016-06-23,92.373,92.709,91.707,92.527,31739582
2016-06-24,89.455,91.136,89.205,89.928,65733893
2016-06-27,89.542,89.59,88.097,88.617,46014180
2016-06-28,89.445,90.178,88.714,90.11,40019568
2016-06-29,90.476,91.035,90.149,90.89,33321401
2016-06-30,90.929,92.208,90.794,92.045,35101163
2016-07-01,91.939,92.878,91.785,92.324,25897510
2016-07-05,91.844,91.853,90.945,91.505,28179184
2016-07-06,91.083,92.104,90.862,91.977,30455366
2016-07-07,92.141,92.911,92.065,92.373,24639782
2016-07-08,92.902,93.288,92.478,93.086,27578212
2016-07-11,93.152,94.019,93.143,93.373,23536853
2016-07-12,93.556,94.068,93.509,93.797,22544083
2016-07-13,93.787,94.038,93.238,93.268,22656243
2016-07-14,93.768,95.309,93.7,95.106,36471686
2016-07-15,95.24,95.608,94.836,95.106,30680288
