Date,Open,High,Low,Close,Volume
1984-09-07,0.41907,0.42415,0.41399,0.41907,23486687
1984-09-10,0.41907,0.42033,0.40897,0.41656,18229501
1984-09-11,0.42033,0.43173,0.42033,0.42415,42986246
1984-09-12,0.42415,0.42667,0.41146,0.41146,37552151
1984-09-13,0.43429,0.43551,0.43429,0.43429,58486087
1984-09-14,0.43551,0.45072,0.43551,0.4406,69638614
1984-09-17,0.45198,0.45831,0.45198,0.45198,54372584
1984-09-18,0.45198,0.4558,0.43551,0.43551,27448524
1984-09-19,0.43551,0.4406,0.42667,0.42667,29982328
1984-09-20,0.42794,0.43173,0.42794,0.42794,18665505
1984-09-21,0.42794,0.4406,0.41907,0.42415,28162525
1984-09-24,0.42415,0.42667,0.42033,0.42033,22286135
1984-09-25,0.41907,0.41907,0.41146,0.41146,47049195
1984-09-26,0.41146,0.43045,0.40644,0.40644,31302946
1984-09-27,0.40644,0.40897,0.40644,0.40644,29881230
1984-09-28,0.40644,0.40644,0.3887,0.39626,65841061
1984-10-01,0.39502,0.39502,0.38741,0.38741,27581213
1984-10-02,0.38995,0.40389,0.38995,0.38995,33356515
1984-10-03,0.39626,0.40262,0.39626,0.39626,33969446
1984-10-04,0.40132,0.40389,0.40132,0.40132,35397473
1984-10-05,0.40132,0.40132,0.38995,0.39248,27524351
1984-10-08,0.39248,0.39502,0.39248,0.39248,13250361
1984-10-09,0.39248,0.39502,0.3887,0.3887,35334281
1984-10-10,0.3887,0.3887,0.37731,0.37731,102919313
1984-10-11,0.37731,0.38741,0.37476,0.37476,51554440
1984-10-12,0.37476,0.37731,0.35576,0.35829,74977940
1984-10-15,0.37855,0.38235,0.37855,0.37855,68621301
1984-10-16,0.37855,0.37983,0.37731,0.37731,33293345
1984-10-17,0.39248,0.39502,0.39248,0.39248,44186819
1984-10-18,0.40389,0.40644,0.40389,0.40389,69720758
1984-10-19,0.40389,0.43173,0.40262,0.40389,91994256
1984-10-22,0.40389,0.4102,0.40132,0.40132,32370811
1984-10-23,0.4102,0.41399,0.4102,0.4102,52590717
1984-10-24,0.41399,0.41907,0.41399,0.41399,47112384
1984-10-25,0.41399,0.41399,0.39881,0.39881,44616495
1984-10-26,0.39881,0.39881,0.38741,0.3887,32396075
1984-10-29,0.38995,0.39248,0.38995,0.38995,14286630
1984-10-30,0.39502,0.39881,0.39502,0.39502,21041342
1984-10-31,0.39502,0.39881,0.39248,0.39248,16991042
1984-11-01,0.39502,0.39881,0.39502,0.39502,13269308
1984-11-02,0.39502,0.39626,0.38995,0.39248,7809938
1984-11-05,0.39248,0.40132,0.38995,0.38995,29723263
1984-11-06,0.41399,0.41656,0.41399,0.41399,63560013
1984-11-07,0.41399,0.41656,0.40644,0.40644,65316612
1984-11-08,0.40644,0.40644,0.38995,0.38995,24857843
1984-11-09,0.38995,0.39248,0.36337,0.36716,82971125
1984-11-12,0.37983,0.38235,0.37983,0.37983,31947450
1984-11-13,0.37983,0.3887,0.37096,0.37096,35732370
1984-11-14,0.37476,0.37855,0.37476,0.37476,29432586
1984-11-15,0.37476,0.37855,0.37476,0.37476,30070783
1984-11-16,0.37476,0.37983,0.36464,0.36716,46758538
1984-11-19,0.36716,0.36969,0.34565,0.34565,65721004
1984-11-20,0.35702,0.35829,0.35702,0.35702,74257596
1984-11-21,0.36464,0.36716,0.36464,0.36464,50417066
1984-11-23,0.36969,0.37983,0.36969,0.37476,38670558
1984-11-26,0.37855,0.37855,0.37855,0.37855,28390018
1984-11-27,0.3887,0.39248,0.3887,0.3887,35940878
1984-11-28,0.40897,0.41907,0.40897,0.40897,115803200
1984-11-29,0.40897,0.40897,0.40132,0.40132,49330260
1984-11-30,0.40132,0.40389,0.3887,0.38995,30664757
1984-12-03,0.38995,0.39248,0.3849,0.3849,27644402
1984-12-04,0.39248,0.40132,0.39248,0.39248,33956802
1984-12-05,0.41146,0.41146,0.41146,0.41146,74162828
1984-12-06,0.43173,0.43429,0.43173,0.43173,89498366
1984-12-07,0.43173,0.44821,0.42794,0.43045,139498380
1984-12-10,0.43045,0.43045,0.42162,0.42162,31448266
1984-12-11,0.42162,0.42794,0.41656,0.41656,34917244
1984-12-12,0.41656,0.41656,0.40262,0.40262,31050201
1984-12-13,0.40644,0.41399,0.40644,0.40644,18855056
1984-12-14,0.40644,0.42033,0.40644,0.41656,27119952
1984-12-17,0.42667,0.43045,0.42667,0.42667,35327973
1984-12-18,0.45198,0.45325,0.45198,0.45198,96069817
1984-12-19,0.45198,0.45325,0.43429,0.43429,89561548
1984-12-20,0.43429,0.44187,0.43173,0.43173,39447772
1984-12-21,0.43173,0.43429,0.42162,0.42667,34948841
1984-12-24,0.43429,0.43551,0.43429,0.43429,19050946
1984-12-26,0.43551,0.4406,0.43551,0.43551,18949850
1984-12-27,0.43805,0.4406,0.43805,0.43805,27859236
1984-12-28,0.43805,0.4558,0.43551,0.45325,46638471
1984-12-31,0.45959,0.46211,0.45959,0.45959,58606129
1985-01-02,0.45959,0.45959,0.4406,0.4406,49450294
1985-01-03,0.44821,0.45959,0.44821,0.44821,46998630
1985-01-04,0.44821,0.45072,0.44187,0.44821,38721111
1985-01-07,0.44821,0.45072,0.4457,0.4457,48211845
1985-01-08,0.4457,0.45072,0.44187,0.44187,39807925
1985-01-09,0.45325,0.45959,0.45325,0.45325,47030246
1985-01-10,0.47355,0.47481,0.47355,0.47355,78156257
1985-01-11,0.47355,0.47743,0.46464,0.46972,57841570
1985-01-14,0.48237,0.48738,0.48237,0.48237,76285898
1985-01-15,0.48237,0.49121,0.47355,0.47355,74744141
1985-01-16,0.47743,0.48499,0.47743,0.47743,53563794
1985-01-17,0.47743,0.48499,0.44313,0.44313,154448467
1985-01-18,0.44313,0.46211,0.44187,0.45198,99481940
1985-01-21,0.46211,0.46464,0.46211,0.46211,91798372
1985-01-22,0.47481,0.47743,0.47481,0.47481,119840861
1985-01-23,0.47481,0.47743,0.46714,0.46714,121439505
1985-01-24,0.46714,0.46714,0.45831,0.45831,112005626
1985-01-25,0.45831,0.46714,0.44821,0.46714,89833251
1985-01-28,0.47743,0.48237,0.47743,0.47743,116270766
1985-01-29,0.47743,0.48118,0.4722,0.4722,63111390
1985-01-30,0.4722,0.48118,0.4722,0.4722,138910758
1985-01-31,0.4722,0.47355,0.45831,0.45831,77922468
1985-02-01,0.45831,0.45959,0.44821,0.45198,38853815
1985-02-04,0.46211,0.4634,0.46211,0.46211,61500094
1985-02-05,0.46464,0.47355,0.46464,0.46464,53608022
1985-02-06,0.47355,0.47355,0.47355,0.47355,54846482
1985-02-07,0.47355,0.47984,0.4722,0.4722,69246854
1985-02-08,0.4722,0.47355,0.46464,0.4722,37242534
1985-02-11,0.48118,0.48499,0.48118,0.48118,97870653
1985-02-12,0.48118,0.48237,0.46972,0.46972,63894904
1985-02-13,0.46972,0.46972,0.44821,0.44821,148666847
1985-02-14,0.44821,0.45198,0.43551,0.43551,120403203
1985-02-15,0.43551,0.44313,0.43173,0.44187,48976397
1985-02-19,0.4406,0.4406,0.43551,0.43551,42265909
